"MatchIndex","SuperstarName"
8020,"Thea Hail"
8019,"Fallon Henley"
8019,"Zaria"
8018,"Jacy Jayne"
8018,"Tatum Paxley"
8017,"Blake Monroe"
8017,"Sol Ruca"
8016,"Dolph Ziggler"
8016,"Solo Sikoa"
8015,"Becky Lynch"
8015,"Maxxine Dupri"
8014,"Otis"
8014,"Rusev"
8013,"Dominik Mysterio"
8013,"Finn Balor"
8013,"JD McDonagh"
8013,"John Cena"
8013,"Rey Mysterio"
8013,"Sheamus"
8012,"Gunther"
8012,"Je'Von Evans"
8011,"Charlie Dempsey"
8011,"Timothy Thatcher"
8010,"Chantel Monroe"
8010,"Wendy Choo"
8009,"Bronson Reed"
8009,"Cody Rhodes"
8008,"Aaron Rourke"
8008,"Cappuccino Jones"
8008,"Eli Knight"
8008,"Brad Baylor"
8008,"Jackson Drake"
8008,"Ricky Smokes"
8007,"Aaron Rourke"
8007,"Cappuccino Jones"
8007,"Marcus Mathers"
8007,"Mike Cunningham"
8007,"Sam Holloway"
8007,"Braxton Cole"
8007,"Brooks Jensen"
8007,"Kam Hendrix"
8007,"Keanu Carver"
8006,"Jackson Drake"
8006,"Sean Legacy"
8005,"LA Knight"
8005,"Zack Ryder"
8004,"Sean Legacy"
8004,"Tate Wilder"
8003,"Dante Chen"
8003,"Drake Morreaux"
8002,"Axiom"
8002,"Ilja Dragunov"
8001,"Jey Uso"
8001,"The Miz"
8000,"Alba Fyre"
8000,"Thea Hail"
7999,"Ricky Saints"
7999,"Trick Williams"
7998,"Josh Briggs"
7998,"Tavion Heights"
7997,"Raquel Rodriguez"
7997,"Stephanie Vaquer"
7996,"Alexa Bliss"
7996,"Charlotte Flair"
7996,"Asuka"
7996,"Kairi Sane"
7995,"Sheamus"
7995,"Shinsuke Nakamura"
7994,"Dominik Mysterio"
7994,"John Cena"
7993,"Damian Priest"
7993,"Rusev"
7992,"Akira Tozawa"
7992,"Otis"
7992,"Kofi Kingston"
7992,"Xavier Woods"
7991,"Charlotte Flair"
7991,"Nia Jax"
7990,"Rey Fenix"
7990,"Talla Tonga"
7989,"Aleister Black"
7989,"Cody Rhodes"
7988,"Carmelo Hayes"
7988,"Kit Wilson"
7987,"Ilja Dragunov"
7987,"Johnny Gargano"
7986,"Fallon Henley"
7986,"Jacy Jayne"
7986,"Lainey Reid"
7986,"Izzi Dame"
7986,"Lola Vice"
7986,"Tatum Paxley"
7985,"El Grande Americano"
7985,"Josh Briggs"
7984,"Je'Von Evans"
7984,"Saquon Shugars"
7983,"AJ Styles"
7983,"Dragon Lee"
7983,"Finn Balor"
7983,"JD McDonagh"
7982,"Grayson Waller"
7982,"Otis"
7981,"Bron Breakker"
7981,"Bronson Reed"
7981,"CM Punk"
7981,"Jey Uso"
7980,"Asuka"
7980,"Kairi Sane"
7980,"Bayley"
7980,"Lyra Valkyria"
7979,"Nikki Bella"
7979,"Stephanie Vaquer"
7979,"Raquel Rodriguez"
7979,"Roxanne Perez"
7978,"El Grande Americano"
7978,"Penta"
7977,"Dominik Mysterio"
7977,"Penta"
7977,"Rusev"
7976,"CM Punk"
7976,"Jey Uso"
7975,"Cody Rhodes"
7975,"Drew McIntyre"
7974,"Jade Cargill"
7974,"Tiffany Stratton"
7973,"Kiana James"
7973,"Michin"
7972,"Alexa Bliss"
7972,"Nia Jax"
7971,"Alex Shelley"
7971,"Chris Sabin"
7971,"JC Mateo"
7971,"Tama Tonga"
7970,"Ilja Dragunov"
7970,"Nathan Frazer"
7969,"Myles Borne"
7969,"Tavion Heights"
7968,"Jordynne Grace"
7968,"Kelani Jordan"
7967,"Kendal Grey"
7967,"Lash Legend"
7966,"Penta"
7966,"Rusev"
7965,"Nikki Bella"
7965,"Roxanne Perez"
7964,"Bron Breakker"
7964,"LA Knight"
7963,"Akira Tozawa"
7963,"Otis"
7963,"Bronco Nima"
7963,"Lucien Price"
7962,"Alexa Bliss"
7962,"Charlotte Flair"
7962,"Bayley"
7962,"Lyra Valkyria"
7961,"JD McDonagh"
7961,"Sheamus"
7960,"Jacy Jayne"
7960,"Tatum Paxley"
7959,"Ricky Saints"
7959,"Trick Williams"
7958,"Brother Nero"
7958,"Matt Hardy"
7958,"Dion Lennox"
7958,"Osiris Griffin"
7957,"Je'Von Evans"
7957,"Leon Slater"
7957,"La Parka"
7957,"Mr. Iguana"
7956,"Blake Monroe"
7956,"Zaria"
7955,"El Hijo de Dr. Wagner Jr."
7955,"Ethan Page"
7954,"Angel"
7954,"Berto"
7954,"Angelo Dawkins"
7954,"Montez Ford"
7953,"Kiana James"
7953,"Tiffany Stratton"
7952,"Aleister Black"
7952,"Ilja Dragunov"
7951,"JC Mateo"
7951,"Tama Tonga"
7951,"Rey Fenix"
7951,"Shinsuke Nakamura"
7950,"Drew McIntyre"
7950,"Jimmy Uso"
7949,"Channing Lorenzo"
7949,"Leon Slater"
7948,"Izzi Dame"
7948,"Tatum Paxley"
7948,"Jacy Jayne"
7948,"Lainey Reid"
7947,"Dominik Mysterio"
7947,"Rusev"
7946,"AJ Styles"
7946,"Dragon Lee"
7946,"Finn Balor"
7946,"JD McDonagh"
7945,"Roxanne Perez"
7945,"Stephanie Vaquer"
7944,"Ivy Nile"
7944,"Lyra Valkyria"
7943,"Becky Lynch"
7943,"Maxxine Dupri"
7942,"AJ Styles"
7942,"Akira Tozawa"
7942,"Dominik Mysterio"
7942,"Dragon Lee"
7942,"El Grande Americano"
7942,"Finn Balor"
7942,"Grayson Waller"
7942,"Ivar"
7942,"JD McDonagh"
7942,"Jey Uso"
7942,"Jimmy Uso"
7942,"Kofi Kingston"
7942,"LA Knight"
7942,"Otis"
7942,"Penta"
7942,"Rusev"
7942,"Sheamus"
7941,"Brad Baylor"
7941,"Ricky Smokes"
7941,"Tate Wilder"
7941,"Trill London"
7940,"Ilja Dragunov"
7940,"Sami Zayn"
7939,"Chantel Monroe"
7939,"Kendal Grey"
7938,"Aaron Rourke"
7938,"Marcus Mathers"
7938,"Cappuccino Jones"
7938,"Mike Cunningham"
7937,"Karmen Petrovic"
7937,"Zena Sterling"
7936,"Kali Armstrong"
7936,"PJ Vasa"
7935,"Bronco Nima"
7935,"Lucien Price"
7935,"Harley Riggins"
7935,"Jax Presley"
7934,"Jackson Drake"
7934,"Keanu Carver"
7933,"Eli Knight"
7933,"Sean Legacy"
7932,"Kit Wilson"
7932,"Montez Ford"
7931,"Alexa Bliss"
7931,"Charlotte Flair"
7931,"Sol Ruca"
7931,"Zaria"
7930,"Alex Shelley"
7930,"Chris Sabin"
7930,"Angel"
7930,"Berto"
7929,"Kairi Sane"
7929,"Rhea Ripley"
7928,"CM Punk"
7928,"Jey Uso"
7928,"LA Knight"
7927,"Dominik Mysterio"
7927,"Penta"
7926,"Brutus Creed"
7926,"Julius Creed"
7926,"Erik"
