"MatchIndex","Team"
7872,"Harley Riggins & Jax Presley"
7869,"Dion Lennox, Osiris Griffin & Saquon Shugars"
7869,"Joe Hendry, Kale Dixon & Uriah Connors"
7861,"Erik, Ivar & Penta"
7861,"Grayson Waller, Kofi Kingston & Xavier Woods"
7857,"AJ Lee & CM Punk"
7857,"Becky Lynch & Seth Rollins"
7855,"Bron Breakker & Bronson Reed"
7855,"Jey Uso & Jimmy Uso"
7854,"Axiom & Nathan Frazer"
7854,"Bron Breakker & Bronson Reed"
7853,"Alba Fyre & Chelsea Green"
7853,"Alexa Bliss & Charlotte Flair"
7851,"Carmelo Hayes & Trick Williams"
7851,"Johnny Gargano & Tommaso Ciampa"
7850,"Fallon Henley, Jacy Jayne & Jazmyn Nyx"
7850,"Lyra Valkyria, Rhea Ripley & Stephanie Vaquer"
7849,"Alexa Bliss & Charlotte Flair"
7849,"Izzi Dame & Tatum Paxley"
7843,"Bron Breakker & Bronson Reed"
7843,"Jimmy Uso & LA Knight"
7837,"Finn Balor & Roxanne Perez"
7837,"Lola Vice & Mr. Iguana"
7836,"Grayson Waller & Kofi Kingston"
7836,"Pagano & Psycho Clown"
7834,"Cruz Del Toro, Joaquin Wilde, Lince Dorado & Mini Abismo Negro"
7834,"La Parka    , Laredo Kid, Mascarita Sagrada  & Octagon Jr."
7831,"Angel    & Berto"
7831,"Axiom & Nathan Frazer"
7830,"Dion Lennox & Osiris Griffin"
7830,"Hank Walker & Tank Ledger"
7827,"Fallon Henley & Jazmyn Nyx"
7827,"Izzi Dame & Tatum Paxley, Sol Ruca & Zaria"
7818,"Aaron Rourke & Marcus Mathers"
7818,"Tyriek Igwe & Tyson Dupont"
7813,"Cappuccino Jones & Jack Cartwheel"
7813,"Harley Riggins & Jax Presley"
7812,"Brad Baylor & Ricky Smokes"
7812,"Kale Dixon & Uriah Connors"
7805,"Cutler James, Dion Lennox, Osiris Griffin & Saquon Shugars"
7805,"Hank Walker, Oba Femi, Ricky Saints & Tank Ledger"
7804,"Bron Breakker & Bronson Reed"
7804,"Jey Uso & LA Knight"
7802,"Akira Tozawa, Maxxine Dupri & Otis"
7802,"Brutus Creed, Ivy Nile & Julius Creed"
7800,"Erik, Ivar & Penta"
7800,"Grayson Waller, Kofi Kingston & Xavier Woods"
7799,"Asuka & Kairi Sane"
7799,"Raquel Rodriguez & Roxanne Perez"
7794,"Angelo Dawkins & Montez Ford"
7794,"Dexter Lumis & Joe Gacy"
7792,"Angelo Dawkins & Montez Ford"
7792,"Carmelo Hayes & The Miz"
7790,"Alex Shelley & Chris Sabin"
7790,"Axiom & Nathan Frazer"
7787,"Fallon Henley, Jacy Jayne & Jazmyn Nyx"
7787,"Lola Vice, Sol Ruca & Zaria"
7776,"Chelsea Green & Ethan Page"
7776,"Tavion Heights & Tyra Mae Steele"
7775,"Dion Lennox & Osiris Griffin"
7775,"Hank Walker & Tank Ledger"
7774,"Alex Shelley & Chris Sabin"
7774,"Carmelo Hayes & The Miz"
7772,"Angelo Dawkins & Montez Ford"
7772,"JC Mateo & Tonga Loa"
7771,"Becky Lynch & Nia Jax"
7771,"Jade Cargill & Tiffany Stratton"
7766,"Ash By Elegance, Heather By Elegance & M By Elegance"
7766,"Fallon Henley, Jacy Jayne & Jazmyn Nyx"
7763,"Dragon Lee   & Mr. Iguana"
7763,"Finn Balor & JD McDonagh"
7759,"Axiom & Nathan Frazer"
