"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2021-08-06,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1146","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-08-05,"WWE","WWE NXT UK","WWE NXT UK #156","Televised","London, England, UK","London","England","UK"
2021-08-02,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1471","Televised","Rosemont, Illinois, USA","Rosemont","Illinois","USA"
2021-08-02,"WWE","WWE Main Event","WWE Main Event #462","Televised","Rosemont, Illinois, USA","Rosemont","Illinois","USA"
2021-08-01,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Detroit, Michigan, USA","Detroit","Michigan","USA"
2021-07-31,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Milwaukee, Wisconsin, USA","Milwaukee","Wisconsin","USA"
2021-07-30,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1145","Televised","Minneapolis, Minnesota, USA","Minneapolis","Minnesota","USA"
2021-07-29,"WWE","WWE NXT UK","WWE NXT UK #155","Televised","London, England, UK","London","England","UK"
2021-07-26,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1470","Televised","Kansas City, Missouri, USA","Kansas City","Missouri","USA"
2021-07-26,"WWE","WWE Main Event","WWE Main Event #461","Televised","Kansas City, Missouri, USA","Kansas City","Missouri","USA"
2021-07-25,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Louisville, Kentucky, USA","Louisville","Kentucky","USA"
2021-07-24,"WWE","WWE Live Supershow","WWE Live Supershow","Non-Televised","Pittsburgh, Pennsylvania, USA","Pittsburgh","Pennsylvania","USA"
2021-07-23,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1144","Televised","Cleveland, Ohio, USA","Cleveland","Ohio","USA"
2021-07-22,"WWE","WWE NXT UK","WWE NXT UK #154","Televised","London, England, UK","London","England","UK"
2021-07-21,"WWE","WWE NXT","WWE NXT #588","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-21,"WWE","WWE NXT","WWE NXT #587","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-21,"WWE","WWE 205 Live","WWE 205 Live #243","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-21,"WWE","WWE 205 Live","WWE 205 Live #242","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-20,"WWE","WWE NXT","WWE NXT #586","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-20,"WWE","WWE 205 Live","WWE 205 Live #241","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-19,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1469","Televised","Dallas, Texas, USA","Dallas","Texas","USA"
2021-07-19,"WWE","WWE Main Event","WWE Main Event #460","Televised","Dallas, Texas, USA","Dallas","Texas","USA"
2021-07-18,"WWE","WWE Money In The Bank","WWE Money In The Bank 2021 Kickoff","PLE/PPV","Fort Worth, Texas, USA","Fort Worth","Texas","USA"
2021-07-18,"WWE","WWE Money In The Bank","WWE Money In The Bank 2021","PLE/PPV","Fort Worth, Texas, USA","Fort Worth","Texas","USA"
2021-07-16,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1143","Televised","Houston, Texas, USA","Houston","Texas","USA"
2021-07-15,"WWE","WWE NXT UK","WWE NXT UK #153","Televised","London, England, UK","London","England","UK"
2021-07-13,"WWE","WWE NXT","WWE NXT #585","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-13,"WWE","WWE 205 Live","WWE 205 Live #240","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2021-07-09,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1142","Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2021-07-08,"WWE","WWE NXT UK","WWE NXT UK #152","Televised","London, England, UK","London","England","UK"
