"Date","Promotion","Event","EventName","EventType","Location","CityTown","StateProvince","Country"
2025-12-30,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Fort Myers, Florida, USA","Fort Myers","Florida","USA"
2025-12-30,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Detroit, Michigan, USA","Detroit","Michigan","USA"
2025-12-29,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1701","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-29,"WWE","WWE Main Event","WWE Main Event #692","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-28,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Jacksonville, Florida, USA","Jacksonville","Florida","USA"
2025-12-28,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Rochester, New York, USA","Rochester","New York","USA"
2025-12-27,"WWE","WWE Main Event","WWE Main Event #691 - Best Of 2025: Part Two","Televised","USA","USA","USA","USA"
2025-12-27,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2025-12-27,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Pittsburgh, Pennsylvania, USA","Pittsburgh","Pennsylvania","USA"
2025-12-26,"WWE","WWE Live Holiday Tour","WWE Live Holiday Tour 2025","Non-Televised","Baltimore, Maryland, USA","Baltimore","Maryland","USA"
2025-12-20,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Dade City, Florida, USA","Dade City","Florida","USA"
2025-12-20,"WWE","WWE Main Event","WWE Main Event #690 - Best Of 2025: Part One","Televised","USA","USA","USA","USA"
2025-12-19,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Fort Pierce, Florida, USA","Fort Pierce","Florida","USA"
2025-12-19,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1700","Televised","Grand Rapids, Michigan, USA","Grand Rapids","Michigan","USA"
2025-12-19,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1375","Televised","Grand Rapids, Michigan, USA","Grand Rapids","Michigan","USA"
2025-12-17,"WWE","WWE NXT","WWE NXT #818 - NXT Year-End Awards 2025","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-17,"WWE","WWE NXT","WWE NXT #817","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-16,"WWE","WWE NXT","WWE NXT #816","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-15,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1699","Televised","Hershey, Pennsylvania, USA","Hershey","Pennsylvania","USA"
2025-12-15,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1374","Televised","Hershey, Pennsylvania, USA","Hershey","Pennsylvania","USA"
2025-12-14,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Macon, Georgia, USA","Macon","Georgia","USA"
2025-12-13,"WWE","WWE Saturday Night's Main Event","WWE Saturday Night's Main Event #42 - John Cena's Final Match","Televised","Washington, District Of Columbia, USA","Washington","District Of Columbia","USA"
2025-12-13,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Columbia, South Carolina, USA","Columbia","South Carolina","USA"
2025-12-12,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Greensboro, North Carolina, USA","Greensboro","North Carolina","USA"
2025-12-12,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1373","Televised","Wilkes-Barre, Pennsylvania, USA","Wilkes-Barre","Pennsylvania","USA"
2025-12-09,"WWE","WWE NXT","WWE NXT #815","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-08,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1698","Televised","Kansas City, Missouri, USA","Kansas City","Missouri","USA"
2025-12-08,"WWE","WWE Main Event","WWE Main Event #689","Televised","Kansas City, Missouri, USA","Kansas City","Missouri","USA"
2025-12-06,"WWE","WWE NXT Deadline","WWE NXT Deadline 2025","PLE/PPV","San Antonio, Texas, USA","San Antonio","Texas","USA"
2025-12-05,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1372","Televised","Austin, Texas, USA","Austin","Texas","USA"
2025-12-02,"WWE","WWE NXT","WWE NXT #814","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-12-01,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1697","Televised","Glendale, Arizona, USA","Glendale","Arizona","USA"
2025-12-01,"WWE","WWE Main Event","WWE Main Event #688","Televised","Glendale, Arizona, USA","Glendale","Arizona","USA"
2025-11-29,"WWE","WWE Survivor Series","WWE Survivor Series 2025 - WarGames","PLE/PPV","San Diego, California, USA","San Diego","California","USA"
2025-11-24,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1696","Televised","Oklahoma City, Oklahoma, USA","Oklahoma City","Oklahoma","USA"
2025-11-24,"WWE","WWE Main Event","WWE Main Event #687","Televised","Oklahoma City, Oklahoma, USA","Oklahoma City","Oklahoma","USA"
2025-11-22,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Sanford, Florida, USA","Sanford","Florida","USA"
2025-11-21,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Bartow, Florida, USA","Bartow","Florida","USA"
2025-11-21,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1371","Televised","Denver, Colorado, USA","Denver","Colorado","USA"
2025-11-21,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1370","Televised","Denver, Colorado, USA","Denver","Colorado","USA"
2025-11-18,"WWE","WWE NXT","WWE NXT #813 - Gold Rush 2025","Televised","New York City, New York, USA","New York City","New York","USA"
2025-11-18,"WWE","WWE NXT","WWE NXT #812 - Gold Rush 2025","Televised","New York City, New York, USA","New York City","New York","USA"
2025-11-17,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1695","Televised","New York City, New York, USA","New York City","New York","USA"
2025-11-17,"WWE","WWE Main Event","WWE Main Event #686","Televised","New York City, New York, USA","New York City","New York","USA"
2025-11-15,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Chicago, Illinois, USA","Chicago","Illinois","USA"
2025-11-14,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Ashwaubenon, Wisconsin, USA","Ashwaubenon","Wisconsin","USA"
2025-11-14,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1369","Televised","Albany, New York, USA","Albany","New York","USA"
2025-11-14,"WWE","WWE EVOLVE","WWE EVOLVE #43","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-11-14,"WWE","WWE EVOLVE","WWE EVOLVE #42","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-11-14,"WWE","WWE EVOLVE","WWE EVOLVE #41","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-11-14,"WWE","WWE EVOLVE","WWE EVOLVE #40","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-11-13,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","St. Paul, Minnesota, USA","St. Paul","Minnesota","USA"
2025-11-11,"WWE","WWE NXT","WWE NXT #811","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-11-10,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1694","Televised","Boston, Massachusetts, USA","Boston","Massachusetts","USA"
2025-11-10,"WWE","WWE Main Event","WWE Main Event #685","Televised","Boston, Massachusetts, USA","Boston","Massachusetts","USA"
2025-11-08,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2025-11-07,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Fort Pierce, Florida, USA","Fort Pierce","Florida","USA"
2025-11-07,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1368","Televised","Greenville, South Carolina, USA","Greenville","South Carolina","USA"
2025-11-04,"WWE","WWE NXT","WWE NXT #810","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-11-03,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1693","Televised","Rio Rancho, New Mexico, USA","Rio Rancho","New Mexico","USA"
2025-11-03,"WWE","WWE Main Event","WWE Main Event #684","Televised","Rio Rancho, New Mexico, USA","Rio Rancho","New Mexico","USA"
2025-11-01,"WWE","WWE Saturday Night's Main Event","WWE Saturday Night's Main Event #41","Televised","Salt Lake City, Utah, USA","Salt Lake City","Utah","USA"
2025-10-31,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1367","Televised","Salt Lake City, Utah, USA","Salt Lake City","Utah","USA"
2025-10-28,"WWE","WWE NXT","WWE NXT #809","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-27,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1692","Televised","Anaheim, California, USA","Anaheim","California","USA"
2025-10-27,"WWE","WWE Main Event","WWE Main Event #683","Televised","Anaheim, California, USA","Anaheim","California","USA"
2025-10-25,"WWE","WWE NXT Halloween Havoc","WWE NXT Halloween Havoc 2025","PLE/PPV","Prescott Valley, Arizona, USA","Prescott Valley","Arizona","USA"
2025-10-24,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1366","Televised","Tempe, Arizona, USA","Tempe","Arizona","USA"
2025-10-21,"WWE","WWE NXT","WWE NXT #808","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-20,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1691","Televised","Sacramento, California, USA","Sacramento","California","USA"
2025-10-20,"WWE","WWE Main Event","WWE Main Event #682","Televised","Sacramento, California, USA","Sacramento","California","USA"
2025-10-18,"WWE","WWE SuperShow Japan","WWE SuperShow Japan","Non-Televised","Tokyo, Japan","Tokyo","Japan","Japan"
2025-10-18,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Dade City, Florida, USA","Dade City","Florida","USA"
2025-10-17,"WWE","WWE SuperShow Japan","WWE SuperShow Japan","Non-Televised","Tokyo, Japan","Tokyo","Japan","Japan"
2025-10-17,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Venice, Florida, USA","Venice","Florida","USA"
2025-10-17,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1365","Televised","San Jose, California, USA","San Jose","California","USA"
2025-10-17,"WWE","WWE EVOLVE","WWE EVOLVE #39","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-17,"WWE","WWE EVOLVE","WWE EVOLVE #38","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-17,"WWE","WWE EVOLVE","WWE EVOLVE #37","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-15,"WWE","WWE SuperShow Australia","WWE SuperShow Australia","Non-Televised","Melbourne, Victoria, Australia","Melbourne","Victoria","Australia"
2025-10-13,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1690","Televised","Perth, Western Australia, Australia","Perth","Western Australia","Australia"
2025-10-13,"WWE","WWE Main Event","WWE Main Event #681","Televised","Perth, Western Australia, Australia","Perth","Western Australia","Australia"
2025-10-11,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Cleveland, Ohio, USA","Cleveland","Ohio","USA"
2025-10-11,"WWE","WWE Crown Jewel","WWE Crown Jewel 2025","PLE/PPV","Perth, Western Australia, Australia","Perth","Western Australia","Australia"
2025-10-10,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Detroit, Michigan, USA","Detroit","Michigan","USA"
2025-10-10,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1364","Televised","Perth, Western Australia, Australia","Perth","Western Australia","Australia"
2025-10-09,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Columbus, Ohio, USA","Columbus","Ohio","USA"
2025-10-07,"WWE","WWE NXT","WWE NXT #807","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-07,"WWE","WWE NXT","WWE NXT #806 - Showdown","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-10-06,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1689","Televised","Dallas, Texas, USA","Dallas","Texas","USA"
2025-10-06,"WWE","WWE Main Event","WWE Main Event #680","Televised","Dallas, Texas, USA","Dallas","Texas","USA"
2025-10-04,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Gainesville, Florida, USA","Gainesville","Florida","USA"
2025-10-03,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Jacksonville, Florida, USA","Jacksonville","Florida","USA"
2025-10-03,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1363","Televised","Cincinnati, Ohio, USA","Cincinnati","Ohio","USA"
2025-09-30,"WWE","WWE NXT","WWE NXT #805","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-30,"WWE","WWE EVOLVE","WWE EVOLVE #33 - Succession","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-29,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1688","Televised","Raleigh, North Carolina, USA","Raleigh","North Carolina","USA"
2025-09-29,"WWE","WWE Main Event","WWE Main Event #679","Televised","Raleigh, North Carolina, USA","Raleigh","North Carolina","USA"
2025-09-28,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.14 - Down To The Wire","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-27,"WWE","WWE NXT No Mercy","WWE NXT No Mercy 2025","PLE/PPV","Fort Lauderdale, Florida, USA","Fort Lauderdale","Florida","USA"
2025-09-27,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","St. Petersburg, Florida, USA","St. Petersburg","Florida","USA"
2025-09-26,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Citrus Springs, Florida, USA","Citrus Springs","Florida","USA"
2025-09-26,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1362","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-26,"WWE","WWE EVOLVE","WWE EVOLVE #36","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-26,"WWE","WWE EVOLVE","WWE EVOLVE #35","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-26,"WWE","WWE EVOLVE","WWE EVOLVE #34","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-23,"WWE","WWE NXT","WWE NXT #804","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-22,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1687","Televised","Evansville, Indiana, USA","Evansville","Indiana","USA"
2025-09-22,"WWE","WWE Main Event","WWE Main Event #678","Televised","Evansville, Indiana, USA","Evansville","Indiana","USA"
2025-09-21,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.13 - It's Not Over 'Til It's Over","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-20,"WWE","WWE Wrestlepalooza","WWE Wrestlepalooza","PLE/PPV","Indianapolis, Indiana, USA","Indianapolis","Indiana","USA"
2025-09-19,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1361","Televised","Toledo, Ohio, USA","Toledo","Ohio","USA"
2025-09-16,"WWE","WWE NXT","WWE NXT #803 - Homecoming","Televised","Winter Park, Florida, USA","Winter Park","Florida","USA"
2025-09-15,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1686","Televised","Springfield, Massachusetts, USA","Springfield","Massachusetts","USA"
2025-09-15,"WWE","WWE Main Event","WWE Main Event #677","Televised","Springfield, Massachusetts, USA","Springfield","Massachusetts","USA"
2025-09-14,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.12 - Last Women Standing","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-13,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-12,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Fort Pierce, Florida, USA","Fort Pierce","Florida","USA"
2025-09-12,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1360","Televised","Norfolk, Virginia, USA","Norfolk","Virginia","USA"
2025-09-12,"WWE","AAA x WWE Worlds Collide","AAA x WWE Worlds Collide 2025: Las Vegas","PLE/PPV","Las Vegas, Nevada, USA","Las Vegas","Nevada","USA"
2025-09-09,"WWE","WWE NXT","WWE NXT #802","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-08,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1685","Televised","Milwaukee, Wisconsin, USA","Milwaukee","Wisconsin","USA"
2025-09-08,"WWE","WWE Main Event","WWE Main Event #676","Televised","Milwaukee, Wisconsin, USA","Milwaukee","Wisconsin","USA"
2025-09-07,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Augusta, Georgia, USA","Augusta","Georgia","USA"
2025-09-07,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.11 - Last Chance To Impress","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-06,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","North Charleston, South Carolina, USA","North Charleston","South Carolina","USA"
2025-09-05,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Spartanburg, South Carolina, USA","Spartanburg","South Carolina","USA"
2025-09-05,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1359","Televised","Rosemont, Illinois, USA","Rosemont","Illinois","USA"
2025-09-05,"WWE","WWE EVOLVE","WWE EVOLVE #32","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-05,"WWE","WWE EVOLVE","WWE EVOLVE #31","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-05,"WWE","WWE EVOLVE","WWE EVOLVE #30","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-02,"WWE","WWE NXT","WWE NXT #801","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-09-01,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1684","Televised","Nanterre, Frankreich","Nanterre","Frankreich","France"
2025-09-01,"WWE","WWE Main Event","WWE Main Event #675","Televised","Nanterre, Frankreich","Nanterre","Frankreich","France"
2025-08-31,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.10 - Follow That","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-31,"WWE","WWE Clash In Paris","WWE Clash In Paris","PLE/PPV","Nanterre, Frankreich","Nanterre","Frankreich","France"
2025-08-29,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1358","Televised","Décines-Charpieu, Frankreich","Décines-Charpieu","Frankreich","France"
2025-08-28,"WWE","WWE Road To Clash In Paris","WWE Road To Clash In Paris","Non-Televised","Cardiff, Wales, UK","Cardiff","Wales","UK"
2025-08-27,"WWE","WWE Road To Clash In Paris","WWE Road To Clash In Paris","Non-Televised","Leeds, West Yorkshire, England, UK","Leeds","West Yorkshire","England"
2025-08-26,"WWE","WWE Road To Clash In Paris","WWE Road To Clash In Paris","Non-Televised","Manchester, England, UK","Manchester","England","UK"
2025-08-26,"WWE","WWE NXT","WWE NXT #800","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-25,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1683","Televised","Birmingham, West Midlands, England, UK","Birmingham","West Midlands","England"
2025-08-25,"WWE","WWE Main Event","WWE Main Event #674","Televised","Birmingham, West Midlands, England, UK","Birmingham","West Midlands","England"
2025-08-24,"WWE","WWE Road To Clash In Paris","WWE Road To Clash In Paris","Non-Televised","Newcastle Upon Tyne, Tyne And Wear, England, UK","Newcastle Upon Tyne","Tyne And Wear","England"
2025-08-24,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.09 - Fight Back","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-24,"WWE","WWE Heatwave","WWE Heatwave 2025","PLE/PPV","Lowell, Massachusetts, USA","Lowell","Massachusetts","USA"
2025-08-23,"WWE","WWE Road To Clash In Paris","WWE Road To Clash In Paris","Non-Televised","Liverpool, Merseyside, England, UK","Liverpool","Merseyside","England"
2025-08-23,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Sebring, Florida, USA","Sebring","Florida","USA"
2025-08-22,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Lakeland, Florida, USA","Lakeland","Florida","USA"
2025-08-22,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1357","Televised","Dublin, Ireland","Dublin","Ireland","Ireland"
2025-08-19,"WWE","WWE NXT","WWE NXT #799","Televised","Philadelphia, Pennsylvania, USA","Philadelphia","Pennsylvania","USA"
2025-08-18,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1682","Televised","Philadelphia, Pennsylvania, USA","Philadelphia","Pennsylvania","USA"
2025-08-18,"WWE","WWE Main Event","WWE Main Event #673","Televised","Philadelphia, Pennsylvania, USA","Philadelphia","Pennsylvania","USA"
2025-08-17,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.08 - Top Dog","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-15,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1356","Televised","Boston, Massachusetts, USA","Boston","Massachusetts","USA"
2025-08-12,"WWE","WWE NXT","WWE NXT #798","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-11,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1681","Televised","Quebec City, Quebec, Canada","Quebec City","Quebec","Canada"
2025-08-11,"WWE","WWE Main Event","WWE Main Event #672","Televised","Quebec City, Quebec, Canada","Quebec City","Quebec","Canada"
2025-08-10,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.07 - Sink Or Swim","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-09,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Venice, Florida, USA","Venice","Florida","USA"
2025-08-08,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Davenport, Florida, USA","Davenport","Florida","USA"
2025-08-08,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1355","Televised","Montreal, Quebec, Canada","Montreal","Quebec","Canada"
2025-08-08,"WWE","WWE EVOLVE","WWE EVOLVE #29","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-08,"WWE","WWE EVOLVE","WWE EVOLVE #28","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-08,"WWE","WWE EVOLVE","WWE EVOLVE #27","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-08,"WWE","WWE EVOLVE","WWE EVOLVE #26","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-05,"WWE","WWE NXT","WWE NXT #797","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-08-04,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1680","Televised","New York City, New York, USA","New York City","New York","USA"
2025-08-04,"WWE","WWE Main Event","WWE Main Event #671","Televised","New York City, New York, USA","New York City","New York","USA"
2025-08-03,"WWE","WWE SummerSlam","WWE SummerSlam 2025 - Sunday","PLE/PPV","East Rutherford, New Jersey, USA","East Rutherford","New Jersey","USA"
2025-08-02,"WWE","WWE SummerSlam","WWE SummerSlam 2025 - Saturday","PLE/PPV","East Rutherford, New Jersey, USA","East Rutherford","New Jersey","USA"
2025-08-01,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1354","Televised","Newark, New Jersey, USA","Newark","New Jersey","USA"
2025-07-29,"WWE","WWE NXT","WWE NXT #796","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-28,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1679","Televised","Detroit, Michigan, USA","Detroit","Michigan","USA"
2025-07-28,"WWE","WWE Main Event","WWE Main Event #670","Televised","Detroit, Michigan, USA","Detroit","Michigan","USA"
2025-07-27,"WWE","WWE SuperShow Mexico","WWE SuperShow Mexico","Non-Televised","Monterrey, Nuevo Leon, Mexiko","Monterrey","Nuevo Leon","Mexiko"
2025-07-27,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.06 - Out Of Your Comfort Zone","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-26,"WWE","WWE SuperShow Mexico","WWE SuperShow Mexico","Non-Televised","Mexico City, Distrito Federal, Mexiko","Mexico City","Distrito Federal","Mexiko"
2025-07-25,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Citrus Springs, Florida, USA","Citrus Springs","Florida","USA"
2025-07-25,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1353","Televised","Cleveland, Ohio, USA","Cleveland","Ohio","USA"
2025-07-22,"WWE","WWE NXT","WWE NXT #795","Televised","Houston, Texas, USA","Houston","Texas","USA"
2025-07-22,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.15 - Season Two Finals!","Televised","Houston, Texas, USA","Houston","Texas","USA"
2025-07-21,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1678","Televised","Houston, Texas, USA","Houston","Texas","USA"
2025-07-21,"WWE","WWE Main Event","WWE Main Event #669","Televised","Houston, Texas, USA","Houston","Texas","USA"
2025-07-20,"WWE","WWE SuperShow","WWE SuperShow","Non-Televised","Edinburg, Texas, USA","Edinburg","Texas","USA"
2025-07-20,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.05 - Size Matters","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-19,"WWE","WWE SuperShow","WWE SuperShow","Non-Televised","Corpus Christi, Texas, USA","Corpus Christi","Texas","USA"
2025-07-19,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Tampa, Florida, USA","Tampa","Florida","USA"
2025-07-18,"WWE","WWE NXT Live","WWE NXT Live","Non-Televised","Sebring, Florida, USA","Sebring","Florida","USA"
2025-07-18,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1352","Televised","San Antonio, Texas, USA","San Antonio","Texas","USA"
2025-07-18,"WWE","WWE EVOLVE","WWE EVOLVE #25","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-18,"WWE","WWE EVOLVE","WWE EVOLVE #24","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-18,"WWE","WWE EVOLVE","WWE EVOLVE #23","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-15,"WWE","WWE NXT","WWE NXT #794","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-14,"WWE","WWE Monday Night RAW","WWE Monday Night RAW #1677","Televised","Birmingham, Alabama, USA","Birmingham","Alabama","USA"
2025-07-14,"WWE","WWE Main Event","WWE Main Event #668","Televised","Birmingham, Alabama, USA","Birmingham","Alabama","USA"
2025-07-13,"WWE","WWE LFG: Legends & Future Greats","WWE LFG: Legends & Future Greats #2.04 - Good Vs. Evil","Televised","Orlando, Florida, USA","Orlando","Florida","USA"
2025-07-13,"WWE","WWE Evolution","WWE Evolution 2025","PLE/PPV","Atlanta, Georgia, USA","Atlanta","Georgia","USA"
2025-07-12,"WWE","WWE Saturday Night's Main Event","WWE Saturday Night's Main Event #40","Televised","Atlanta, Georgia, USA","Atlanta","Georgia","USA"
2025-07-12,"WWE","WWE NXT The Great American Bash","WWE NXT The Great American Bash 2025","PLE/PPV","Atlanta, Georgia, USA","Atlanta","Georgia","USA"
2025-07-11,"WWE","WWE Friday Night SmackDown","WWE Friday Night SmackDown #1351","Televised","Nashville, Tennessee, USA","Nashville","Tennessee","USA"
